OPID,SV,OS,CRS,Status
TECH-1918,81,47710,500K to 1M,Loss
ERP-1162,59,50537,500K to 1M,Loss
TECH-1256,78,40055,500K to 1M,Loss
ERP-1688,89,46852,500K to 1M,Loss
ERP-1409,91,35944,500K to 1M,Loss
TECH-1768,28,149531,250K to 500K,Loss
ERP-1008,90,40154,500K to 1M,Loss
ERP-1776,64,57876,100K to 250K,Loss
TECH-1237,90,43106,500K to 1M,Loss
TECH-1466,77,44737,500K to 1M,Loss
ERP-1590,91,32417,500K to 1M,Loss
ERP-1763,91,43785,500K to 1M,Loss
TECH-1977,91,30038,500K to 1M,Loss
ERP-1623,91,38170,500K to 1M,Loss
ERP-1845,42,51930,500K to 1M,Loss
TECH-1935,90,29384,500K to 1M,Loss
ERP-1252,85,47096,500K to 1M,Loss
TECH-1399,90,31832,500K to 1M,Loss
ERP-1411,81,50899,500K to 1M,Loss
TECH-1725,90,37434,250K to 500K,Loss
ERP-1384,91,52340,500K to 1M,Loss
TECH-1729,81,49977,500K to 1M,Loss
ERP-1321,91,12048,500K to 1M,Loss
ERP-1917,77,42795,100K to 250K,Loss
ERP-1048,76,30808,500K to 1M,Loss
ERP-1369,81,38912,500K to 1M,Loss
ERP-1561,82,44889,500K to 1M,Loss
ERP-1281,90,46422,500K to 1M,Loss
ERP-1552,44,51167,500K to 1M,Won
ERP-1193,90,40845,500K to 1M,Loss
ERP-1717,82,34849,500K to 1M,Loss
TECH-1162,71,56336,500K to 1M,Loss
ERP-1464,86,37739,100K to 250K,Loss
ERP-1492,83,49996,500K to 1M,Loss
ERP-1490,74,31021,500K to 1M,Loss
TECH-1649,74,5000,500K to 1M,Won
ERP-1598,61,116124,500K to 1M,Loss
ERP-1311,15,42011,500K to 1M,Loss
ERP-1904,89,28530,500K to 1M,Loss
TECH-1598,69,51898,100K to 250K,Loss
TECH-1383,76,138341,500K to 1M,Loss
TECH-1259,68,64879,500K to 1M,Loss
TECH-1298,44,58119,500K to 1M,Won
ERP-1395,91,40761,500K to 1M,Loss
TECH-1786,82,54088,500K to 1M,Won
ERP-1368,66,0,100K to 250K,Loss
ERP-1200,87,131031,500K to 1M,Loss
TECH-1083,76,24846,500K to 1M,Loss
ERP-1149,90,93559,500K to 1M,Loss
ERP-1202,46,49268,100K to 250K,Loss
TECH-1598,76,43965,500K to 1M,Loss
ERP-1981,61,0,500K to 1M,Loss
ERP-1810,44,11054,500K to 1M,Won
TECH-1681,82,35709,100K to 250K,Won
ERP-1849,77,10000,100K to 250K,Loss
ERP-1039,78,40515,500K to 1M,Loss
ERP-1979,72,45122,250K to 500K,Loss
ERP-1580,61,36880,500K to 1M,Loss
ERP-1842,63,1,100K to 250K,Loss
TECH-1895,48,55745,500K to 1M,Loss
TECH-1726,64,113889,500K to 1M,Loss
TECH-1148,80,14457,500K to 1M,Loss
TECH-1327,73,123992,500K to 1M,Loss
ERP-1561,77,46487,500K to 1M,Loss
ERP-1179,64,47607,500K to 1M,Loss
ERP-1598,83,32114,500K to 1M,Loss
ERP-1610,84,13944,500K to 1M,Loss
